College_Name,Location_City,Location_State,Campus_Area,Accreditation_Body,Affiliation_University,Year_of_Establishment,National_Ranking,International_Ranking,Number_of_Faculties,Number_of_Departments,Website_URL,Program_Name,Eligibility_Criteria,Required_Entrance_Exam,Minimum_Exam_Score,Application_Start_Date,Application_End_Date,Admission_Quota_Type,Reservation_Category,Application_Fees,Application_Mode,Document_Required,Counseling_Start_Date,Counseling_End_Date,Tuition_Fees_Annual,Hostel_Fees_Annual,Lab_Fees_Annual,Miscellaneous_Fees,Total_Fees,Scholarship_Name,Scholarship_Eligibility,Scholarship_Amount,Financial_Aid_Options,Installment_Availability,Loan_Partners,Payment_Methods,Course_Duration_Years,Core_Subjects,Elective_Subjects,Faculty_Qualification,Faculty_Experience_Years,Teaching_Methods,Average_Class_Size,Academic_Calendar_Start,Academic_Calendar_End,Exam_Schedule,Average_CGPA,Research_Opportunities_Available,Internship_Availability,Placement_Year,Placement_Rate_Overall,Placement_Rate_By_Department,Top_Recruiters,Average_Salary_Overall,Average_Salary_By_Department,Highest_Salary_Overall,Highest_Salary_By_Department,Internship_Partners,Internship_Conversion_Rate,Total_Number_of_Classrooms,Total_Number_of_Labs,Library_Books_Available,Library_Digital_Resources,Hostel_Capacity,Sports_Facilities_Available,Gym_Available,Auditorium_Capacity,WiFi_Availability,Canteen_Capacity,Number_of_Smart_Classrooms,Medical_Facilities_Available,Accessibility_Features,Counseling_Services_Available,Mentorship_Programs_Available,Clubs_and_Societies_Available,Cultural_Events_Frequency,On_Campus_Accommodation_Available,Student_Exchange_Programs_Available,Alumni_Network_Size,Alumni_Notable_Names,Campus_Safety_Rating,Emergency_Protocols,Part-time_Job_Opportunities_Available,Department_Name,Specializations_Offered,Departmental_Achievements,Lab_Specific_Facilities,Industry_Collaborations_Available,Departmental_Events_Frequency,Number_of_International_Students,Country_of_Origin,Admission_Process_International,Visa_Assistance_Available,Cultural_Integration_Programs_Available,Language_Support_Available,International_Student_Housing_Available,Entrepreneurship_Support_Available,Incubation_Center_Available,Part-time_Job_Opportunities_International_Students,Study_Abroad_Programs_Available,Dual_Degree_Programs_Available,Community_Service_Programs_Available
Carr-Mays,Washingtonburgh,Montana,133,AICTE,Estrada Ltd University,1990,200,823,367,26,http://www.robertson.info/,Law,Graduation with 55%,JEE,,01-06-2024,26-06-2024,General,SC,620,Offline,Address Proof,24-02-2024,08-06-2024,247312,59559,13173,17553,414644,Fear Scholarship,Category-Based,62455,No,No,"Acosta, Davis and Schmidt",Credit Card,3,TRUE,Say,MTech,12,Project-Based,56,04-04-2024,24-03-2024,12-01-2024,9.61,Yes,Yes,2016,54,84,"Jones, Gibson and Valdez",1213771,1100788,1726893,2391968,Anderson-Cooper,35,86,42,39441,3106,733,No,No,1221,No,152,19,No,No,No,Yes,Than Club,Yearly,Yes,No,62950,Joyce Rogers,3,No,Yes,Electrical,Own Engineering,Image side meeting traditional.,Couple increase them television person degree.,Yes,Weekly,239,New Zealand,Different,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
"Miller, Hogan and Knight",Moralesland,Nevada,14,AICTE,Donovan-Williams University,1975,280,757,217,22,http://www.tran-kline.org/,Arts,12th Grade with 60%,None,,28-08-2024,29-07-2024,Management,ST,1936,Online,Photo,13-06-2024,04-02-2024,99784,30966,33573,15453,194588,Certainly Scholarship,Category-Based,12765,No,Yes,"Mitchell, Shaw and Duncan",Debit Card,1,Source,Hand,PhD,12,Online,38,03-06-2024,23-03-2024,18-07-2024,9.18,Yes,No,2016,78,66,Wise-Christian,500330,1358210,1125962,1341133,Carey LLC,36,59,35,32195,1507,1120,Yes,Yes,343,Yes,461,43,Yes,No,No,Yes,Would Club,Yearly,No,No,87508,Christine Mccarty,3,Yes,Yes,Civil,Nothing Engineering,Reason catch shake.,Sign data wish true.,No,Yearly,834,Hong Kong,Similar,No,No,Yes,No,Yes,No,No,Yes,No,No
Johnson Ltd,Perrybury,Indiana,32,AICTE,Prince PLC University,2005,385,891,231,40,http://hoffman-powers.com/,Engineering,Entrance Exam,CAT,67,27-05-2024,18-05-2024,Reserved,General,1387,Online,Marksheet,10-03-2024,06-06-2024,137857,74175,39737,5480,173838,Example Scholarship,Category-Based,56683,Yes,No,Rios-Grant,UPI,2,Conference,Despite,MTech,21,Project-Based,44,10-08-2024,11-08-2024,08-03-2024,8.15,Yes,Yes,2016,52,74,Callahan Ltd,650700,1017592,1632258,2299224,Walker Group,20,195,20,11635,2402,394,Yes,No,1772,No,440,31,No,No,No,No,Budget Club,Monthly,No,Yes,59895,Nicole Whitney,9,No,Yes,Mechanical,Coach Engineering,Room ahead southern her bar data.,Whole matter bank value time notice.,No,Monthly,523,Palestinian Territory,Different,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
"Ramirez, Dougherty and Edwards",West Stevenhaven,Texas,174,UGC,Jordan Inc University,1972,439,492,193,35,http://chase-salazar.biz/,Law,Graduation with 55%,CAT,51,06-08-2024,25-04-2024,Reserved,OBC,1858,Online,ID Proof,17-06-2024,17-01-2024,300236,48306,34005,18257,243312,Order Scholarship,Need-Based,50825,Yes,No,Torres and Sons,Debit Card,4,Hit,Effect,MBA,26,Lectures,79,16-05-2024,07-07-2024,27-05-2024,8.68,Yes,Yes,2018,78,52,Boyd-Buckley,1353582,655928,1063987,679002,Jacobs-Rojas,46,164,50,40145,7059,546,No,No,713,No,133,41,No,Yes,Yes,Yes,Difficult Club,Monthly,No,Yes,84184,Marvin Brooks,1,Yes,No,Computer Science,Police Engineering,Property game drive tough energy organization.,Certain and gun effect why feeling.,Yes,Weekly,890,Yemen,Similar,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No
Drake Inc,Pottermouth,South Carolina,187,NBA,Rose-Sweeney University,2007,34,623,183,6,https://www.strickland.biz/,Arts,Graduation with 55%,NEET,80,08-06-2024,07-03-2024,General,SC,1410,Offline,Address Proof,22-07-2024,23-05-2024,282060,71258,20557,5782,579662,At Scholarship,Need-Based,65391,Yes,Yes,"Cantrell, Cardenas and Ross",Net Banking,3,Of,Treat,MSc,7,Practical,72,11-01-2024,03-02-2024,28-04-2024,9.77,Yes,No,2011,64,87,Nicholson-Hudson,1257526,379203,1886546,2463664,Mullins-Smith,52,61,30,33324,3103,1359,Yes,Yes,269,Yes,321,42,No,No,No,No,Enter Club,Weekly,Yes,No,48397,Albert Roberts,6,Yes,Yes,Computer Science,Establish Engineering,Player reveal treatment attorney.,Detail home act here.,Yes,Monthly,725,Tajikistan,Different,No,No,Yes,No,No,No,No,No,Yes,Yes
"Boyle, Carson and Potter",West Sarah,Ohio,48,UGC,Taylor and Sons University,1953,5,866,99,48,https://www.lloyd.info/,Law,Entrance Exam,None,50,04-07-2024,05-02-2024,General,General,571,Offline,Photo,04-07-2024,03-05-2024,175638,83876,34794,16936,349824,Market Scholarship,Category-Based,57191,No,No,"Summers, Jackson and Knox",Net Banking,3,Represent,Material,MBA,30,Online,58,18-06-2024,27-06-2024,24-07-2024,9.18,No,No,2023,63,58,Cherry-Woods,346355,1120025,1411452,1164942,Payne-Williams,80,17,26,9259,3918,751,Yes,No,353,No,364,41,Yes,Yes,No,No,Exactly Club,Monthly,No,No,57794,Alicia Lee,5,No,Yes,Civil,Recently Engineering,Per often listen scientist goal wear long get.,Middle necessary next theory.,Yes,Yearly,82,Comoros,Similar,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
"Farmer, Hutchinson and Thomas",West Steven,Utah,158,UGC,"Jones, Ramirez and Sharp University",2019,440,381,172,30,https://vega.biz/,Science,Graduation with 55%,JEE,,06-04-2024,15-07-2024,Reserved,General,1997,Offline,ID Proof,19-04-2024,20-01-2024,296128,94830,23431,11245,335549,Serious Scholarship,Merit-Based,97572,Yes,Yes,Padilla Group,Debit Card,1,Read,Beautiful,MTech,32,Practical,71,18-04-2024,20-05-2024,29-06-2024,7.38,Yes,Yes,2017,81,87,Smith PLC,1346695,589589,2028806,1268451,Clark LLC,77,179,11,23678,5754,126,Yes,Yes,1225,No,78,31,No,No,No,Yes,Paper Club,Weekly,No,Yes,89055,Casey Johnson,2,Yes,Yes,Law,Energy Engineering,Describe argue leave present give discover raise.,Throughout energy support red end.,Yes,Weekly,540,Bahrain,Similar,No,No,Yes,Yes,No,No,No,No,No,No
Oneal-Mcdaniel,Emilyville,Georgia,156,AICTE,"Huynh, Hill and Moore University",2005,70,71,495,24,http://www.arroyo.com/,Law,Graduation with 55%,JEE,79,16-02-2024,08-07-2024,General,ST,1814,Offline,ID Proof,22-02-2024,01-02-2024,437113,84219,36459,15688,125974,Yourself Scholarship,Need-Based,62066,Yes,Yes,Bernard-Henderson,Net Banking,5,Purpose,Final,PhD,13,Lectures,44,05-02-2024,04-08-2024,19-02-2024,8.95,No,Yes,2014,71,67,Warren-Reynolds,1193840,559091,637126,621187,Jackson-Perry,44,123,33,54444,8981,621,Yes,Yes,877,No,82,23,No,No,Yes,No,Low Club,Monthly,No,No,8115,Ashley Alexander DDS,5,Yes,Yes,Business,My Engineering,Activity police provide raise leave.,Near maybe business study.,Yes,Monthly,762,Swaziland,Similar,No,No,No,No,No,Yes,Yes,No,Yes,Yes
Ramirez Group,Stevensburgh,Hawaii,45,NAAC,"Boone, Ryan and Watson University",1977,226,610,460,35,http://www.king.org/,Arts,Graduation with 55%,SAT,97,15-06-2024,30-07-2024,Reserved,SC,1664,Offline,ID Proof,25-02-2024,25-03-2024,455577,47840,20984,13149,376290,Fast Scholarship,Category-Based,44772,Yes,No,Montoya-Watkins,UPI,3,Concern,A,MSc,5,Lectures,80,08-05-2024,17-07-2024,11-07-2024,7.35,No,No,2013,70,52,"Newman, White and Duarte",1130310,1032276,2293227,610279,Moon and Sons,26,165,13,92150,5759,1901,No,Yes,225,No,417,9,Yes,Yes,No,Yes,Spend Club,Weekly,No,No,25303,Marissa Patterson,4,Yes,No,Electrical,To Engineering,Chance article result play including.,Stand from with central protect heart radio.,No,Monthly,488,Saudi Arabia,Different,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
"Hawkins, Perez and Anderson",West Amberfort,Kansas,142,UGC,Ford-Anderson University,2002,26,119,494,12,http://mccullough.com/,Law,12th Grade with 60%,JEE,93,18-02-2024,27-02-2024,General,OBC,521,Online,Address Proof,23-08-2024,03-07-2024,422774,40420,13795,6339,262394,Become Scholarship,Merit-Based,19914,No,Yes,Gonzalez LLC,Net Banking,1,Rest,Person,MSc,35,Lectures,34,12-06-2024,14-04-2024,24-04-2024,7.66,Yes,Yes,2011,72,74,Phillips LLC,589364,413329,2325883,1728618,Johnson-Nguyen,90,55,22,36741,811,1101,Yes,Yes,375,No,299,10,No,Yes,Yes,Yes,Phone Club,Monthly,Yes,Yes,73654,Elizabeth Rodriguez,1,Yes,Yes,Law,Which Engineering,Country church week partner collection.,He common according.,No,Weekly,429,Mozambique,Similar,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
"Soto, Cuevas and Hill",Lake Gabrielamouth,New Hampshire,19,NBA,Santiago Inc University,1960,167,518,118,41,https://www.coleman.com/,Engineering,Graduation with 55%,CAT,80,02-08-2024,14-05-2024,General,ST,1241,Offline,ID Proof,29-04-2024,20-01-2024,406869,65550,46867,16768,213622,Stop Scholarship,Category-Based,81694,Yes,No,Molina LLC,Net Banking,4,Box,Ask,MTech,18,Practical,80,03-02-2024,30-06-2024,04-02-2024,6.47,No,No,2020,55,66,Mendoza LLC,519030,990362,577619,757037,"Warner, Flores and Baker",31,187,50,97766,9611,1960,No,No,729,No,201,11,No,No,No,Yes,Traditional Club,Weekly,No,Yes,49180,Ann Gibson,1,No,No,Civil,Throughout Engineering,Final structure foreign particularly second what debate.,Foot effect turn.,No,Weekly,315,Tonga,Different,No,Yes,No,No,Yes,No,No,No,Yes,No
Parsons Ltd,Knoxton,Iowa,145,NAAC,Smith-Salas University,1988,138,706,305,39,https://shelton-henderson.org/,Arts,12th Grade with 60%,CAT,,23-04-2024,28-08-2024,Management,General,1947,Offline,ID Proof,15-02-2024,22-01-2024,283429,82456,29011,17338,558065,Why Scholarship,Need-Based,67454,No,No,Miller-Moore,Credit Card,5,Happen,Over,PhD,37,Lectures,49,30-04-2024,24-03-2024,28-07-2024,7.52,Yes,Yes,2012,63,83,Elliott-Norris,393965,356193,554696,1093439,"Smith, Gordon and Hopkins",77,67,37,45556,7216,202,Yes,No,461,Yes,122,14,Yes,No,No,No,South Club,Weekly,No,No,16106,Adriana Vargas,8,Yes,Yes,Electrical,Day Engineering,Tend nothing happy team choice respond.,Tax go amount federal worker.,Yes,Yearly,488,Colombia,Different,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
Smith-Lewis,Port Jessica,Kentucky,182,AICTE,Gallagher-Anderson University,1964,391,560,179,27,https://lopez.com/,Science,Graduation with 55%,JEE,69,06-03-2024,25-04-2024,Management,SC,1104,Offline,Marksheet,16-06-2024,03-01-2024,263518,41569,25347,7908,125698,Yes Scholarship,Merit-Based,34999,Yes,No,Oconnor Inc,Credit Card,4,Once,Baby,MBA,26,Project-Based,89,01-01-2024,04-06-2024,06-03-2024,7.4,Yes,Yes,2017,57,76,"Gonzalez, Gomez and Lowery",1059245,1450055,1416289,2493104,Booth-Nguyen,15,12,46,34687,8753,101,Yes,No,1048,No,305,26,Yes,No,Yes,No,Outside Club,Weekly,No,No,52413,Roger French,4,Yes,No,Law,Stock Engineering,Young last however able air everything detail.,Expert little remember job building place.,No,Monthly,98,Iran,Similar,No,Yes,No,No,No,No,No,Yes,Yes,Yes
Watson Inc,Ericside,South Dakota,79,NBA,Olson-Baker University,1983,26,267,428,47,https://www.massey.com/,Business,Entrance Exam,None,66,22-08-2024,25-08-2024,General,General,1040,Online,Marksheet,31-03-2024,13-05-2024,126943,81501,37045,13574,206711,Crime Scholarship,Merit-Based,26410,No,Yes,"Fuentes, Page and Brown",Net Banking,1,Scene,Along,PhD,29,Practical,76,13-06-2024,28-05-2024,11-08-2024,8.06,No,No,2020,61,86,Hansen-Robles,767192,1357604,2394897,2558170,"Mcdonald, Flores and Ross",34,168,37,80035,228,1044,No,Yes,1301,No,488,45,No,No,No,No,Use Club,Monthly,Yes,No,61784,Christopher Gallegos,4,No,Yes,Electrical,Without Engineering,Dream course road population especially seek voice effect.,Case product arm leg meet which support.,No,Yearly,299,Monaco,Similar,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
Crawford PLC,North Alexis,Nevada,121,UGC,Ramirez Group University,1978,250,316,175,30,https://ramirez.net/,Arts,Entrance Exam,SAT,67,18-07-2024,26-01-2024,Management,ST,773,Offline,Address Proof,28-03-2024,11-05-2024,335364,69153,31380,19295,436238,Building Scholarship,Merit-Based,54414,No,Yes,"Turner, Kim and Garrett",Debit Card,4,Son,Travel,MBA,27,Project-Based,94,30-06-2024,29-02-2024,12-06-2024,8.02,Yes,No,2010,86,50,Garcia-Cunningham,727207,647002,2007347,814995,Compton Inc,51,154,39,19759,8151,1516,No,No,429,No,340,48,No,Yes,Yes,No,Near Club,Yearly,No,No,36907,Jeff Luna,1,Yes,Yes,Business,State Engineering,Perhaps sell issue central nearly consumer Mrs.,Without clearly seat occur.,No,Weekly,945,Nepal,Similar,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
Neal and Sons,Meyerton,Illinois,127,NAAC,Briggs LLC University,1977,307,459,430,18,https://www.bowers-joseph.com/,Business,12th Grade with 60%,SAT,59,25-04-2024,12-04-2024,Reserved,SC,986,Offline,Photo,07-07-2024,01-03-2024,497496,86651,14730,17319,432353,Brother Scholarship,Need-Based,54742,Yes,Yes,"Cruz, Kelly and Vang",Debit Card,3,Least,Own,PhD,40,Lectures,30,16-08-2024,06-05-2024,31-05-2024,7.11,No,No,2011,61,72,Olson-Barrett,899795,1010692,697159,2211107,Miles LLC,23,152,15,28031,2906,1435,No,Yes,1196,No,389,30,No,No,No,No,Investment Club,Monthly,No,No,59815,Blake Logan,4,Yes,Yes,Computer Science,Total Engineering,Ground wear all apply.,Board say word.,No,Monthly,941,Papua New Guinea,Different,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Jordan-Johnson,Martinville,Nevada,106,AICTE,Jennings-Stanley University,1952,135,69,451,8,http://johnson.com/,Law,12th Grade with 60%,NEET,82,26-06-2024,05-08-2024,Management,OBC,1405,Online,Marksheet,08-07-2024,07-02-2024,364791,91722,41521,18355,99265,Often Scholarship,Merit-Based,41615,Yes,No,Palmer-Fletcher,Credit Card,5,Stay,Response,PhD,20,Project-Based,90,02-04-2024,27-01-2024,28-02-2024,7.26,Yes,Yes,2017,99,98,"Harrison, Mclean and Nelson",650265,944907,1813824,680793,Blankenship-Powell,21,160,49,96182,1588,124,Yes,No,1899,Yes,295,20,No,No,Yes,Yes,Always Club,Monthly,No,Yes,42226,Rebecca Grant,8,No,No,Civil,Only Engineering,Time available fall step.,American job report no film statement watch.,No,Monthly,340,Algeria,Similar,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
Mcintosh Inc,Cruzborough,South Dakota,62,UGC,Adkins-Berg University,2019,317,28,438,16,https://johnson-foster.com/,Business,Graduation with 55%,CAT,72,15-01-2024,29-07-2024,Management,SC,564,Offline,ID Proof,12-07-2024,20-03-2024,193522,43774,45029,16445,548441,Space Scholarship,Merit-Based,36467,No,No,Barnes Group,Credit Card,1,Race,Interesting,PhD,20,Lectures,32,15-03-2024,18-07-2024,10-02-2024,8.56,No,Yes,2021,51,83,"Lawrence, Marsh and Peters",741597,870127,1477753,2491075,Robertson-Morgan,17,140,47,36037,671,457,No,No,559,No,60,34,No,Yes,Yes,No,Office Club,Monthly,Yes,Yes,96113,Melissa Smith,6,No,Yes,Civil,Policy Engineering,During ago change college hair according much.,But economic voice effort time price.,Yes,Yearly,234,Djibouti,Similar,No,Yes,No,No,Yes,No,Yes,No,No,No
"Watkins, Barber and Miller",Hillside,Louisiana,173,AICTE,Walters-Arnold University,1951,476,301,291,39,http://stanley.com/,Engineering,Graduation with 55%,None,86,27-01-2024,27-07-2024,Reserved,OBC,1491,Offline,Address Proof,25-04-2024,28-04-2024,60317,92354,41556,10574,249665,Million Scholarship,Merit-Based,69444,No,No,Cummings-Russo,Debit Card,1,Strong,Impact,MSc,6,Practical,58,22-08-2024,12-05-2024,07-05-2024,8.13,Yes,No,2010,52,57,Horne Group,629765,1417492,1895762,1122413,Parker Inc,86,187,15,25726,8195,323,No,No,494,No,315,26,No,No,Yes,No,Number Club,Yearly,No,No,61650,Zachary Hill,4,No,No,Arts,Stand Engineering,Tonight half each sort interesting game recognize example.,Crime feeling action challenge necessary send return town.,Yes,Weekly,589,Macao,Different,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
"Perkins, Jones and Franco",New Christophershire,Virginia,106,UGC,"Oneal, Gillespie and Huynh University",2011,229,950,293,6,http://www.mercer.com/,Law,Entrance Exam,SAT,62,03-08-2024,05-04-2024,Reserved,General,901,Online,Address Proof,02-02-2024,08-04-2024,77338,61122,29738,8445,184642,Need Scholarship,Need-Based,56505,Yes,No,"Nunez, Banks and Cooper",Debit Card,5,Goal,Music,MSc,36,Online,30,15-06-2024,11-02-2024,07-05-2024,9.23,Yes,Yes,2019,61,54,Williams-Foster,1357635,563370,738388,2997616,Wagner Ltd,80,113,23,97135,3987,1705,Yes,No,214,Yes,378,26,Yes,No,Yes,Yes,Politics Club,Monthly,No,Yes,63756,Kristen Reed,6,Yes,No,Arts,Teacher Engineering,Fund similar parent common next.,Man break tree yourself sign eat bank.,Yes,Yearly,501,Seychelles,Different,Yes,Yes,No,No,No,No,No,Yes,Yes,No
Allen PLC,Gillberg,West Virginia,199,UGC,Mora-Morales University,2019,146,791,211,14,http://lucas.com/,Law,Entrance Exam,CAT,80,12-02-2024,29-03-2024,General,OBC,789,Offline,Marksheet,27-07-2024,01-07-2024,338147,46903,22137,8479,162924,South Scholarship,Merit-Based,54260,Yes,No,Flores and Sons,UPI,5,Certain,Control,MTech,10,Online,56,09-06-2024,13-06-2024,15-04-2024,8.38,No,Yes,2022,89,58,Carson PLC,1401632,1252440,1915720,632942,Torres Ltd,45,178,8,82010,2188,1668,No,Yes,1940,Yes,427,27,No,No,No,Yes,Just Club,Weekly,No,No,33072,Samantha Clark,1,No,No,Electrical,Threat Engineering,Number join final by series only.,Could success simply method actually almost.,Yes,Yearly,783,Costa Rica,Similar,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
"Hess, Castillo and Meyers",North Jeffreyport,Virginia,113,NAAC,White Inc University,1957,54,792,334,23,http://morrison-powell.info/,Law,Entrance Exam,JEE,,04-04-2024,18-05-2024,General,General,746,Offline,Address Proof,06-03-2024,09-01-2024,88023,81905,45400,11744,390700,Girl Scholarship,Category-Based,59679,Yes,No,"Thomas, Gibson and Holt",Credit Card,5,Probably,Light,MSc,35,Practical,25,25-04-2024,17-07-2024,08-02-2024,9.44,Yes,Yes,2013,97,66,Green-Meyer,1429632,656517,1561786,935539,Richardson Ltd,29,68,5,16673,2339,1516,Yes,No,1342,No,240,23,Yes,Yes,No,No,Young Club,Monthly,No,Yes,44500,Nathaniel Ramirez MD,5,No,Yes,Arts,Game Engineering,Should Republican interesting practice kid among.,Coach against visit he.,Yes,Yearly,124,Austria,Similar,No,No,Yes,No,No,No,Yes,No,No,Yes
"Levy, Young and Cardenas",North Cassandra,Florida,168,UGC,Gardner-Smith University,1961,318,565,319,11,http://howell.info/,Business,Graduation with 55%,JEE,66,12-05-2024,20-02-2024,Management,ST,788,Online,Marksheet,12-08-2024,02-03-2024,398772,23275,34775,15926,246678,Common Scholarship,Merit-Based,47020,No,Yes,Hancock PLC,Debit Card,3,Which,Probably,MSc,29,Online,78,06-04-2024,03-06-2024,10-08-2024,8.03,No,Yes,2016,79,69,Cross-Mathis,821720,1246818,2703727,1962064,Morris PLC,13,144,37,29017,4564,446,Yes,No,1546,No,280,14,Yes,Yes,Yes,Yes,Mention Club,Weekly,No,No,70200,Bradley Riley,9,Yes,No,Electrical,Enter Engineering,Away if these oil employee.,Nature note wall man happy site.,Yes,Yearly,759,Tonga,Similar,No,Yes,No,No,No,No,Yes,Yes,No,Yes
Tate LLC,East Francisco,Texas,200,NAAC,Davis LLC University,2005,139,188,135,19,https://www.king.com/,Arts,12th Grade with 60%,None,54,02-03-2024,06-08-2024,Reserved,SC,1923,Online,Address Proof,04-01-2024,22-02-2024,432854,46891,21309,10494,257614,Place Scholarship,Category-Based,78964,No,Yes,Rodriguez Ltd,Debit Card,5,West,Artist,PhD,39,Project-Based,63,16-07-2024,28-08-2024,17-04-2024,9.82,Yes,No,2018,54,64,"Sims, Hoffman and Hansen",663036,602651,974685,2792448,Kirk-Stephens,74,156,29,80599,360,208,No,No,1884,No,205,46,No,No,Yes,No,Mind Club,Yearly,Yes,Yes,28634,Sarah Obrien,8,Yes,Yes,Electrical,Ten Engineering,What order art check good reveal career.,Firm mouth decision support drug head first thank.,No,Monthly,607,Solomon Islands,Different,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Lawrence, Morris and Mccann",Port Rebeccahaven,Pennsylvania,198,UGC,Becker-Fisher University,1967,442,132,184,25,https://www.tanner.com/,Business,12th Grade with 60%,None,57,05-02-2024,21-02-2024,Management,SC,1307,Offline,Photo,11-07-2024,19-05-2024,498781,62055,49589,14100,282774,Start Scholarship,Category-Based,95943,No,No,Good Group,Debit Card,3,Response,Image,MSc,4,Practical,49,05-03-2024,27-01-2024,12-07-2024,8.29,Yes,Yes,2018,97,78,Moore and Sons,1288054,1466012,2172915,2777353,Williams-Adams,23,105,18,94289,6169,869,No,Yes,338,No,347,39,No,No,Yes,No,Change Club,Weekly,Yes,Yes,43507,Scott Perez,9,Yes,Yes,Arts,Land Engineering,Several agree well government identify.,Far century charge mission present letter level.,Yes,Weekly,773,Barbados,Different,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes
"Romero, Snyder and Gutierrez",Franciscoberg,Illinois,49,NBA,Zamora Ltd University,1990,369,200,230,31,https://dorsey.com/,Arts,12th Grade with 60%,CAT,,04-04-2024,25-06-2024,General,General,1751,Offline,Photo,08-05-2024,27-05-2024,64834,43055,35184,13367,590382,Benefit Scholarship,Merit-Based,98883,Yes,No,Scott-Crane,UPI,2,Born,Buy,MSc,16,Lectures,63,02-03-2024,13-06-2024,19-01-2024,9.32,No,No,2024,75,97,Lopez Ltd,1000561,514898,1083038,2115529,"Howell, Guzman and Liu",33,143,26,14822,4208,1255,Yes,Yes,1637,No,308,43,Yes,No,No,No,Situation Club,Monthly,No,Yes,69210,Bryan Cruz,7,No,No,Civil,Sea Engineering,Movie dog give fire.,Throughout wrong care.,Yes,Monthly,700,Chile,Different,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes
